symbol,label,F1,F2,F3,F4,F5,B1,B2,B3,B4,B5,fric_F,fric_B,nasal_F,nasal_B,av,af,an,duration_ms,flags,notes
M,/m/,300,1000,2200,3300,3750,130,100,160,200,200,4000,300,250,100,1.0,0.0,0.7,100,SUSTAINABLE,"bilabial -- low F2 locus (#29 original)"
N,/n/,300,1600,2600,3300,3750,130,100,160,200,200,4000,300,250,100,1.0,0.0,0.7,100,SUSTAINABLE,"alveolar -- higher F2 locus than /m/ (#29 original)"
NG,/ng/,300,2200,2800,3300,3750,130,100,160,200,200,4000,300,250,100,1.0,0.0,0.7,100,SUSTAINABLE,"velar -- highest cascade F2 locus of the three nasals in this model"
S,/s/,500,1500,2500,3300,3750,90,120,170,200,200,6000,500,250,300,0.0,1.0,0.0,110,,"cascade-behind-constriction default; bright/high fric_F (#29 original)"
SH,/sh/,500,1500,2500,3300,3750,90,120,170,200,200,2700,400,250,300,0.0,0.8,0.0,110,,"same cascade as /s/; lower fric_F is the ear cue (#29 original)"
F,/f/,500,1500,2500,3300,3750,90,120,170,200,200,7500,600,250,300,0.0,0.6,0.0,110,,"diffuse/weak -- lower af than /s//sh/ (#29 original)"
Z,/z/,500,1500,2500,3300,3750,90,120,170,200,200,6000,500,250,300,0.5,0.6,0.0,110,,"voiced /s/ -- mixed excitation (#29 original)"
V,/v/,500,1500,2500,3300,3750,90,120,170,200,200,7500,600,250,300,0.5,0.4,0.0,110,,"voiced /f/ -- mixed excitation (#29 original)"
TH,/th/,500,1500,2500,3300,3750,90,120,170,200,200,8000,600,250,300,0.0,0.5,0.0,110,,"dental -- weakest, most diffuse voiceless fricative"
DH,/dh/,500,1500,2500,3300,3750,90,120,170,200,200,8000,600,250,300,0.5,0.4,0.0,110,,"voiced /th/"
ZH,/zh/,500,1500,2500,3300,3750,90,120,170,200,200,2700,400,250,300,0.5,0.65,0.0,110,,"voiced /sh/"
HH,/hh/,500,1500,2500,3300,3750,90,120,170,200,200,3000,800,250,300,0.0,0.4,0.0,80,,"glottal aspiration -- wide/diffuse fric_B, no sharp resonance"
L,/l/,360,1300,2700,3300,3750,70,100,160,200,200,4000,300,250,300,1.0,0.0,0.0,90,,"alveolar lateral -- vowel-like cascade, no dedicated lateral branch here"
R,/r/,310,1060,1380,3300,3750,70,100,120,200,200,4000,300,250,300,1.0,0.0,0.0,90,,"rhotic -- low F3, same cue as /er/"
W,/w/,290,610,2150,3300,3750,60,80,150,200,200,4000,300,250,300,1.0,0.0,0.0,80,,"labiovelar glide -- vowel-like, close to /u/"
Y,/y/,260,2070,3020,3300,3750,60,90,150,200,200,4000,300,250,300,1.0,0.0,0.0,80,,"palatal glide -- vowel-like, close to /i/"
P_CL,/p-cl/,500,1500,2500,3300,3750,90,110,170,200,200,4000,300,250,300,0.0,0.0,0.0,70,STOP_CLOSURE,"bilabial voiceless closure -- silent, cascade shape irrelevant"
B_CL,/b-cl/,500,1500,2500,3300,3750,90,110,170,200,200,4000,300,250,300,0.0,0.0,0.0,50,STOP_CLOSURE,"bilabial voiced closure -- conventionally shorter than voiceless"
T_CL,/t-cl/,500,1500,2500,3300,3750,90,110,170,200,200,4000,300,250,300,0.0,0.0,0.0,70,STOP_CLOSURE,"alveolar voiceless closure"
D_CL,/d-cl/,500,1500,2500,3300,3750,90,110,170,200,200,4000,300,250,300,0.0,0.0,0.0,50,STOP_CLOSURE,"alveolar voiced closure"
K_CL,/k-cl/,500,1500,2500,3300,3750,90,110,170,200,200,4000,300,250,300,0.0,0.0,0.0,70,STOP_CLOSURE,"velar voiceless closure"
G_CL,/g-cl/,500,1500,2500,3300,3750,90,110,170,200,200,4000,300,250,300,0.0,0.0,0.0,50,STOP_CLOSURE,"velar voiced closure"
P_BR,/p-br/,500,1000,2500,3300,3750,90,110,170,200,200,800,400,250,300,0.0,1.0,0.0,15,PLOSIVE|TRANSITION_FAST,"bilabial voiceless release -- low, diffuse burst"
B_BR,/b-br/,500,1000,2500,3300,3750,90,110,170,200,200,800,400,250,300,0.3,0.6,0.0,10,PLOSIVE|TRANSITION_FAST,"bilabial voiced release -- weak voicing continues into the burst"
T_BR,/t-br/,500,1700,2500,3300,3750,90,110,170,200,200,5000,600,250,300,0.0,1.0,0.0,15,PLOSIVE|TRANSITION_FAST,"alveolar voiceless release -- high, diffuse-rising burst"
D_BR,/d-br/,500,1700,2500,3300,3750,90,110,170,200,200,5000,600,250,300,0.3,0.6,0.0,10,PLOSIVE|TRANSITION_FAST,"alveolar voiced release"
K_BR,/k-br/,500,2200,2500,3300,3750,90,110,170,200,200,2000,500,250,300,0.0,1.0,0.0,15,PLOSIVE|TRANSITION_FAST,"velar voiceless release -- compact mid-frequency burst"
G_BR,/g-br/,500,2200,2500,3300,3750,90,110,170,200,200,2000,500,250,300,0.3,0.6,0.0,10,PLOSIVE|TRANSITION_FAST,"velar voiced release"
CH_CL,/ch-cl/,500,1700,2500,3300,3750,90,110,170,200,200,4000,300,250,300,0.0,0.0,0.0,70,STOP_CLOSURE,"alveopalatal voiceless closure (as in ch)"
CH_BR,/ch-br/,500,1700,2500,3300,3750,90,110,170,200,200,2700,400,250,300,0.0,0.9,0.0,60,PLOSIVE|TRANSITION_FAST,"alveopalatal voiceless release -- SH-like frication tail, longer than a plain stop burst"
JH_CL,/jh-cl/,500,1700,2500,3300,3750,90,110,170,200,200,4000,300,250,300,0.0,0.0,0.0,50,STOP_CLOSURE,"alveopalatal voiced closure (as in j)"
JH_BR,/jh-br/,500,1700,2500,3300,3750,90,110,170,200,200,2700,400,250,300,0.3,0.6,0.0,50,PLOSIVE|TRANSITION_FAST,"alveopalatal voiced release -- ZH-like frication tail"
SIL,/sil/,500,1500,2500,3300,3750,90,110,170,200,200,4000,300,250,300,0.0,0.0,0.0,100,,"inter-word pause / rest -- silent, reuses the neutral cascade shape"
